Model	Accuracy	Precision	Recall	F1	ROC-AUC Score
SVM	0.9593023255813954	0.9604374953212163	0.9607936507936508	0.9594677757910676	0.9899722222222223
Random Forest	0.9930232558139535	0.9929678257284736	0.9932539682539683	0.9930855651734368	0.9997867063492064
K-Nearest Neighbors	0.8906976744186047	0.8972764722764722	0.8944444444444445	0.8893766245062524	0.9208333333333334
