	Model	Precision	Recall	F1
0	SVM	0.9076923076923077	0.9079365079365079	0.9070242656449553
1	SVM	0.9777777777777779	0.9777777777777779	0.9770114942528737
2	SVM	1.0	1.0	1.0
3	SVM	0.9411764705882352	0.9333333333333332	0.9307048984468339
4	SVM	1.0	1.0	1.0
5	SVM	0.9555555555555556	0.9555555555555556	0.9532019704433498
6	SVM	0.9791666666666666	0.9761904761904763	0.9769016328156113
7	SVM	0.953968253968254	0.953968253968254	0.953968253968254
8	SVM	0.9777777777777779	0.9777777777777779	0.9770114942528737
9	SVM	0.8937908496732025	0.8873015873015873	0.8845081640780567
10	SVM	0.953968253968254	0.953968253968254	0.953968253968254
11	SVM	0.9777777777777779	0.9777777777777779	0.9770114942528737
12	SVM	0.9791666666666666	0.9761904761904763	0.9769016328156113
13	SVM	0.9317460317460317	0.9317460317460317	0.9310344827586207
14	SVM	0.9777777777777779	0.9777777777777779	0.9770114942528737
15	SVM	0.9583333333333334	0.9555555555555556	0.953968253968254
16	SVM	1.0	1.0	1.0
17	SVM	0.9583333333333334	0.9555555555555556	0.953968253968254
18	SVM	0.953968253968254	0.953968253968254	0.953968253968254
19	SVM	0.9583333333333334	0.9555555555555556	0.953968253968254
20	SVM	0.9326923076923078	0.9301587301587301	0.9307048984468339
21	SVM	0.9118589743589745	0.9095238095238095	0.9079365079365079
22	SVM	0.9791666666666666	0.9761904761904763	0.9769016328156113
23	SVM	0.9317460317460317	0.9317460317460317	0.9310344827586207
24	SVM	0.9791666666666666	0.9761904761904763	0.9769016328156113
25	SVM	0.953968253968254	0.953968253968254	0.953968253968254
26	SVM	0.9777777777777779	0.9777777777777779	0.9770114942528737
27	SVM	0.9791666666666666	0.9761904761904763	0.9769016328156113
28	SVM	0.9583333333333334	0.9555555555555556	0.953968253968254
29	SVM	0.9555555555555556	0.953968253968254	0.9539378458918689
30	SVM	0.9118589743589745	0.9095238095238095	0.9079365079365079
31	SVM	0.9791666666666666	0.9761904761904763	0.9769016328156113
32	SVM	0.9777777777777779	0.9777777777777779	0.9770114942528737
33	SVM	0.9791666666666666	0.9761904761904763	0.9769016328156113
34	SVM	0.9411764705882352	0.9333333333333332	0.9307048984468339
35	SVM	0.9555555555555556	0.953968253968254	0.9539378458918689
36	SVM	1.0	1.0	1.0
37	SVM	1.0	1.0	1.0
38	SVM	0.9777777777777779	0.9777777777777779	0.9770114942528737
39	SVM	0.9777777777777779	0.9777777777777779	0.9770114942528737
40	SVM	0.9583333333333334	0.9555555555555556	0.953968253968254
41	SVM	0.953968253968254	0.953968253968254	0.953968253968254
42	SVM	0.9411764705882352	0.9333333333333332	0.9307048984468339
43	SVM	0.9555555555555556	0.9555555555555556	0.9532019704433498
44	SVM	0.9361111111111112	0.9333333333333332	0.9292464878671775
45	SVM	0.9791666666666666	0.9761904761904763	0.9769016328156113
46	SVM	1.0	1.0	1.0
47	SVM	0.9555555555555556	0.9555555555555556	0.9532019704433498
48	SVM	0.9777777777777779	0.9777777777777779	0.9770114942528737
49	SVM	1.0	1.0	1.0
50	SVM	0.9777777777777779	0.9777777777777779	0.9770114942528737
51	SVM	0.9301587301587301	0.9317460317460317	0.9302134646962233
52	SVM	0.9555555555555556	0.9555555555555556	0.9532019704433498
53	SVM	0.9555555555555556	0.9555555555555556	0.9532019704433498
54	SVM	0.9583333333333334	0.9555555555555556	0.953968253968254
55	SVM	0.9259259259259259	0.9111111111111111	0.907051282051282
56	SVM	0.8995098039215685	0.8888888888888888	0.8788530465949821
57	SVM	0.9583333333333334	0.9555555555555556	0.953968253968254
58	SVM	0.9777777777777779	0.9777777777777779	0.9770114942528737
59	SVM	0.953968253968254	0.953968253968254	0.953968253968254
60	SVM	0.9777777777777779	0.9777777777777779	0.9770114942528737
61	SVM	1.0	1.0	1.0
62	SVM	0.9301587301587301	0.9317460317460317	0.9302134646962233
63	SVM	0.9583333333333334	0.9555555555555556	0.953968253968254
64	SVM	0.9777777777777779	0.9777777777777779	0.9770114942528737
65	SVM	1.0	1.0	1.0
66	SVM	1.0	1.0	1.0
67	SVM	0.9583333333333334	0.9555555555555556	0.953968253968254
68	SVM	0.9777777777777779	0.9777777777777779	0.9770114942528737
69	SVM	0.9777777777777779	0.9777777777777779	0.9770114942528737
70	SVM	0.9118589743589745	0.9095238095238095	0.9079365079365079
71	SVM	0.9777777777777779	0.9777777777777779	0.9770114942528737
72	SVM	0.9777777777777779	0.9777777777777779	0.9770114942528737
73	SVM	0.953968253968254	0.953968253968254	0.953968253968254
74	SVM	0.9607843137254902	0.9523809523809524	0.9535256410256411
75	SVM	0.9583333333333334	0.9555555555555556	0.953968253968254
76	SVM	0.9411764705882352	0.9333333333333332	0.9307048984468339
