Model	Accuracy	Precision	Recall	F1	ROC-AUC Score
SVM	0.9453488372093023	0.9489932678648633	0.9476190476190477	0.9453295546858084	0.9866686507936508
Random Forest	0.9918604651162791	0.9919063233429627	0.9919841269841271	0.9919432572948237	0.9998204365079365
K-Nearest Neighbors	0.8872093023255814	0.8958388514188808	0.8912698412698413	0.8855354702552306	0.918452380952381
